<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
30/06/15;000000;125.5700000;126.1200000;124.8600000;125.6400000;2733229
01/07/15;000000;126.9000000;126.9400000;125.9900000;126.5600000;2464935
02/07/15;000000;126.4300000;126.6900000;125.7700000;126.3600000;1850160
06/07/15;000000;124.9450000;126.2200000;124.8700000;125.9200000;2439224
07/07/15;000000;125.9500000;126.1300000;123.7700000;125.5700000;3120161
08/07/15;000000;124.4700000;124.6300000;122.5800000;122.5800000;5574829
09/07/15;000000;123.8800000;124.0600000;119.2300000;120.0600000;5605785
10/07/15;000000;122.0000000;123.8400000;121.2200000;123.2900000;4872801
13/07/15;000000;125.0000000;125.7500000;124.3200000;125.7100000;2384417
14/07/15;000000;125.2400000;126.3700000;125.0500000;125.6600000;1991369
15/07/15;000000;125.6800000;127.1500000;125.5900000;126.8300000;2189378
16/07/15;000000;127.7500000;128.5700000;127.3500000;128.4200000;2518932
17/07/15;000000;128.9000000;129.5900000;128.3100000;129.5600000;2847338
20/07/15;000000;130.9900000;132.9700000;130.7200000;132.0450000;3381178
21/07/15;000000;132.8500000;132.9000000;130.3250000;130.6800000;3480119
22/07/15;000000;122.0500000;125.4900000;122.0000000;125.1200000;7558699
23/07/15;000000;126.2100000;127.0800000;125.0800000;125.1300000;3374480
24/07/15;000000;125.3300000;125.7300000;123.9000000;124.3800000;3187287
27/07/15;000000;123.0400000;123.6000000;122.3900000;122.9000000;2905385
28/07/15;000000;123.3000000;123.9050000;122.5500000;123.3800000;2948057
29/07/15;000000;123.1200000;123.4900000;122.2700000;122.8300000;2359445
30/07/15;000000;122.3200000;122.5600000;121.7100000;122.4600000;3041430
31/07/15;000000;122.6000000;122.6000000;120.9100000;121.4000000;2783225
03/08/15;000000;121.4700000;122.5600000;117.5200000;118.4100000;5211724
04/08/15;000000;117.1700000;117.6900000;113.2500000;114.6400000;8723906
05/08/15;000000;112.9500000;117.4400000;112.1000000;115.3500000;7118518
06/08/15;000000;116.1000000;116.5000000;114.1200000;115.1600000;3488236
07/08/15;000000;114.5500000;116.2500000;114.5000000;115.5400000;3480677
10/08/15;000000;116.5900000;119.9850000;116.5400000;119.6800000;3098697
11/08/15;000000;117.8000000;118.1500000;113.3400000;113.5600000;7770186
12/08/15;000000;112.5300000;115.4100000;109.6400000;115.2300000;4244776
13/08/15;000000;116.1400000;116.3600000;114.5400000;115.2000000;4002628
14/08/15;000000;114.2100000;116.3000000;114.0700000;115.9600000;3016970
17/08/15;000000;116.0000000;117.6500000;115.5000000;117.1600000;3713158
18/08/15;000000;116.2000000;117.4200000;116.0600000;116.5200000;2286424
19/08/15;000000;115.8800000;116.5200000;114.6800000;115.0200000;4118024
20/08/15;000000;114.1800000;114.3400000;111.6400000;112.8700000;5019679
21/08/15;000000;110.4300000;111.8800000;107.6500000;107.7600000;2349324
24/08/15;000000;95.5700000;108.7900000;92.0000000;104.9900000;5611841
26/08/15;000000;107.0600000;109.7900000;105.0600000;109.6900000;6021925
27/08/15;000000;112.2300000;113.2400000;110.0200000;112.8400000;6014107
28/08/15;000000;112.1700000;113.3000000;111.5500000;113.2600000;3974654
31/08/15;000000;112.0100000;114.5200000;112.0000000;112.7300000;3729267
01/09/15;000000;110.3000000;111.8500000;107.5500000;107.6100000;4914121
02/09/15;000000;109.4100000;112.0500000;109.3100000;112.0400000;2734776
03/09/15;000000;112.4900000;112.7800000;110.0500000;110.3500000;2855296
04/09/15;000000;109.0200000;110.4500000;108.5200000;109.2400000;3244775
08/09/15;000000;111.7200000;112.5600000;110.3300000;112.2600000;3328303
09/09/15;000000;113.6700000;114.0000000;109.7800000;110.1500000;4723987
10/09/15;000000;110.3100000;113.2100000;109.9100000;112.4750000;4191706
11/09/15;000000;111.8900000;114.1700000;111.7600000;114.0900000;3898872
14/09/15;000000;116.5500000;116.8800000;114.8600000;115.3300000;3962279
15/09/15;000000;115.9600000;116.5300000;114.4300000;116.2300000;2858439
16/09/15;000000;116.2200000;116.5300000;115.4500000;116.3500000;2158118
17/09/15;000000;115.6700000;116.4700000;114.6700000;114.8900000;3215723
